#term ID,term description,observed gene count,background gene count,strength,false discovery rate,,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0006457,Protein folding,16,243,0.54,0.0033,x,"10029.G3GWC4,10029.G3H319,10029.G3HD21,10029.G3HD97,10029.G3HLV1,10029.G3HLV8,10029.G3HMA9,10029.G3HMQ0,10029.G3HRG8,10029.G3HRM9,10029.G3HV83,10029.G3I3Z1,10029.G3I973,10029.G3I9P1,10029.G3IEX0,10029.G3IG20","Grpel1,Tbca,Dnajb1,Txndc5,Fkbp10,Dnajc7,Nudcd3,Fkbp9,Erp44,Ptges3,Vbp1,Aip,Hyou1,Mesd,P3h1,Unc45a"
GO:0045727,Positive regulation of translation,12,169,0.58,0.0127,x,"10029.G3GR95,10029.G3H1Y2,10029.G3H3Q1,10029.G3HAQ2,10029.G3HHV4,10029.G3HHX8,10029.G3HIT8,10029.G3HKJ4,10029.G3HQ73,10029.G3HX77,10029.G3HXU5,10029.G3I4H1","Larp4b,Ythdf2,Pkm,EIF6,Thbs1,DHX29,Mrps27,Csde1,Ythdf3,Larp4,Dhx36,Mapk3"
GO:1903311,Regulation of mRNA metabolic process,17,313,0.46,0.0131,x,"10029.G3GR95,10029.G3GRM4,10029.G3GTN1,10029.G3H1X1,10029.G3H1Y2,10029.G3H2S5,10029.G3H6D0,10029.G3H8I3,10029.G3HFJ1,10029.G3HJD9,10029.G3HKJ4,10029.G3HQ73,10029.G3HXU5,10029.G3I2J6,10029.G3I6H3,10029.G3I7E3,10029.G3IGH6","Larp4b,H671_4g12145,Magoh,Pum1,Ythdf2,Rbm8a,Raver1,Sap18,Dcps,Supt5h,Csde1,Ythdf3,Dhx36,Gtpbp1,Sf1,AGO2,Supt6h"
GO:0030162,Regulation of proteolysis,29,724,0.33,0.0148,x,"10029.G3GSK4,10029.G3GTU8,10029.G3GVG3,10029.G3GXL9,10029.G3GYK8,10029.G3H265,10029.G3H750,10029.G3H7R4,10029.G3H7X9,10029.G3H9G6,10029.G3HBL6,10029.G3HDE3,10029.G3HEI4,10029.G3HFY1,10029.G3HGW5,10029.G3HHV4,10029.G3HHV8,10029.G3HII2,10029.G3HKD3,10029.G3HLK3,10029.G3HLZ2,10029.G3HTY0,10029.G3HWE6,10029.G3HYQ6,10029.G3I179,10029.G3IB70,10029.G3IDM2,10029.G3ILN5,10029.G3IN30","Pak2,Nle1,Ints1,Mical1,Psmc3,Diablo,Cast,Prdx3,Ncstn,Otud4,Aurka,Psme2,Pml,Ppm1f,Adrm1,Thbs1,Hdac2,Tmtc3,Mtch1,Grn,Psme3,Ube2o,Usp47,Rps6ka1,Psmd14,Usp19,Cfl1,Rcn3,Plk1"
GO:0030433,Ubiquitin-dependent ERAD pathway,8,81,0.72,0.0194,x,"10029.G3GWD5,10029.G3GX68,10029.G3H1G8,10029.G3H9R6,10029.G3HFL2,10029.G3HK79,10029.G3HW54,10029.G3IB70","Wfs1,Nploc4,Erlin2,Edem3,Erlec1,Tmem129,Os9,Usp19"
GO:0032386,Regulation of intracellular transport,17,334,0.43,0.0239,x,"10029.G3GSI1,10029.G3GSS3,10029.G3GYJ1,10029.G3H4J6,10029.G3H7R3,10029.G3HFL2,10029.G3HHG7,10029.G3HL00,10029.G3HQ99,10029.G3HQA3,10029.G3HW54,10029.G3HZU1,10029.G3HZX6,10029.G3I4H1,10029.G3ICC2,10029.G3IDJ2,10029.G3IGH6","H671_xg19992,Mdn1,Arhgap1,Scfd1,Dennd10,Erlec1,Prkaa1,Ubr5,Pdcd10,Arfip1,Os9,Mapk14,Nucb1,Mapk3,Bag3,Nup214,Supt6h"
GO:0065003,Protein-containing complex assembly,43,1312,0.24,0.0283,x,"10029.G3GSS3,10029.G3GTU8,10029.G3GVV2,10029.G3GVY3,10029.G3GYL3,10029.G3H0T1,10029.G3H319,10029.G3H375,10029.G3H7B2,10029.G3H873,10029.G3H945,10029.G3H9C5,10029.G3H9Z4,10029.G3HAD0,10029.G3HAQ2,10029.G3HBP7,10029.G3HCX7,10029.G3HE04,10029.G3HEI4,10029.G3HGW5,10029.G3HHX8,10029.G3HJ27,10029.G3HM98,10029.G3HN02,10029.G3HPZ2,10029.G3HQX0,10029.G3HRM9,10029.G3HSG5,10029.G3HT18,10029.G3HTY6,10029.G3HV83,10029.G3HWW6,10029.G3I0Z2,10029.G3I1D5,10029.G3I4H1,10029.G3I6W3,10029.G3I7E3,10029.G3I8B9,10029.G3IAN1,10029.G3IBI4,10029.G3IE25,10029.G3ILM5,10029.G3IPM2","Mdn1,Nle1,Crnkl1,Eps15,Ndufs3,Eif3j,Tbca,Eif5,Dlgap5,Erc1,EIF3I,Hells,Strap,Smad2,EIF6,Ndufb10,Farsa,Sf3a3,Pml,Adrm1,DHX29,Mcu,Dbnl,I79_012132,Mat2a,Rpsa,Ptges3,Tfg,Nap1l1,Ndufs2,Vbp1,Xab2,Napa,Ndufb5,Mapk3,CgPICR_020486,AGO2,Ap2b1,Tubgcp2,Ddx20,Clta,Zw10,Washc5"
GO:0016482,Cytosolic transport,10,142,0.57,0.0358,x,"10029.G3GVW9,10029.G3GVY3,10029.G3GZI7,10029.G3H2A5,10029.G3H530,10029.G3H873,10029.G3HEE4,10029.G3HTY0,10029.G3I0P3,10029.G3IKX0","Snx5,Eps15,Pik3r4,Vps29,Snx1,Erc1,Gak,Ube2o,Wdr91,Wdr81"
GO:0061013,Regulation of mRNA catabolic process,11,175,0.52,0.0443,x,"10029.G3GR95,10029.G3GTN1,10029.G3H1X1,10029.G3H1Y2,10029.G3H2S5,10029.G3HFJ1,10029.G3HKJ4,10029.G3HQ73,10029.G3HXU5,10029.G3I2J6,10029.G3I7E3","Larp4b,Magoh,Pum1,Ythdf2,Rbm8a,Dcps,Csde1,Ythdf3,Dhx36,Gtpbp1,AGO2"
GO:0000398,"mRNA splicing, via spliceosome",14,267,0.45,0.0478,x,"10029.G3GVV2,10029.G3H166,10029.G3H2S5,10029.G3H5I9,10029.G3H5P9,10029.G3H9Z4,10029.G3HAC9,10029.G3HE04,10029.G3HFJ1,10029.G3HIN6,10029.G3HTC0,10029.G3HWW6,10029.G3I6H3,10029.G3IBI4","Crnkl1,Ddx41,Rbm8a,Plrg1,Aqr,Strap,I79_007377,Sf3a3,Dcps,Kdm1a,Tfip11,Xab2,Sf1,Ddx20"

